"Timestamp","Type","Value"
"2025-01-08 06:20:00","HRV","50.197895"
"2025-01-08 06:20:00","Pulse","63"
"2025-01-08 06:20:00","Time In REM Sleep","1.7220998"
"2025-01-08 06:20:00","Time Awake","1.0253806"
"2025-01-08 06:20:00","Number Times Woken","13"
"2025-01-08 06:20:00","Time In Light Sleep","3.3245773"
"2025-01-08 06:20:00","Time In Deep Sleep","2.0267813"
"2025-01-08 06:20:00","Sleep Hours","7.07"
"2025-01-08 06:20:00","Notes","WHOOP Recovery Score: 84"
"2025-01-09 03:17:00","Notes","WHOOP Recovery Score: 38"
"2025-01-09 03:17:00","Time In Deep Sleep","1.2737597"
"2025-01-09 03:17:00","Sleep Hours","4.79"
"2025-01-09 03:17:00","HRV","40.577385"
"2025-01-09 03:17:00","Time In REM Sleep","1.122432"
"2025-01-09 03:17:00","Pulse","63"
"2025-01-09 03:17:00","Time In Light Sleep","2.3950036"
"2025-01-09 03:17:00","Time Awake","0.44059417"
"2025-01-09 03:17:00","Number Times Woken","9"
"2025-01-10 08:30:00","Time Awake","0.9132628"
"2025-01-10 08:30:00","Time In Light Sleep","5.4071546"
"2025-01-10 08:30:00","Number Times Woken","19"
"2025-01-10 08:30:00","Time In Deep Sleep","2.3391953"
"2025-01-10 08:30:00","Sleep Hours","9.27"
"2025-01-10 08:30:00","Notes","WHOOP Recovery Score: 46"
"2025-01-10 08:30:00","Pulse","68"
"2025-01-10 08:30:00","Time In REM Sleep","1.522088"
"2025-01-10 08:30:00","HRV","32.025772"
"2025-01-11 08:21:00","HRV","46.123158"
"2025-01-11 08:21:00","Time In REM Sleep","1.5060794"
"2025-01-11 08:21:00","Pulse","63"
"2025-01-11 08:21:00","Time In Light Sleep","3.4524944"
"2025-01-11 08:21:00","Time Awake","1.2657375"
"2025-01-11 08:21:00","Number Times Woken","14"
"2025-01-11 08:21:00","Time In Deep Sleep","2.0828667"
"2025-01-11 08:21:00","Sleep Hours","7.04"
"2025-01-11 08:21:00","Notes","WHOOP Recovery Score: 81"
"2025-01-12 04:10:00","Notes","WHOOP Recovery Score: 7"
"2025-01-12 04:10:00","Sleep Hours","3.44"
"2025-01-12 04:10:00","Time In Deep Sleep","1.0414431"
"2025-01-12 04:10:00","Pulse","70"
"2025-01-12 04:10:00","Time In REM Sleep","0.52071583"
"2025-01-12 04:10:00","HRV","24.931232"
"2025-01-12 04:10:00","Number Times Woken","2"
"2025-01-12 04:10:00","Time Awake","0.92927945"
"2025-01-12 04:10:00","Time In Light Sleep","1.8743144"
"2025-01-12 06:37:00","Number Times Woken","7"
"2025-01-12 06:37:00","Time Awake","1.6021975"
"2025-01-12 06:37:00","Time In Light Sleep","2.6033294"
"2025-01-12 06:37:00","Sleep Hours","5.39"
