"Timestamp","Type","Value"
"2022-01-08 06:52:00","Number Times Woken","21"
"2022-01-08 06:52:00","Sleep Hours","8.30"
"2022-01-08 06:52:00","Time In Light Sleep","3.491534"
"2022-01-08 06:52:00","Time In REM Sleep","2.6714697"
"2022-01-08 06:52:00","Pulse","59"
"2022-01-08 06:52:00","Notes","WHOOP Recovery Score: 38"
"2022-01-08 06:52:00","Time In Deep Sleep","2.1393745"
"2022-01-08 06:52:00","HRV","41.755642"
"2022-01-08 06:52:00","Time Awake","1.9374902"
"2022-01-08 09:03:00","Time Awake","2.214139"
"2022-01-08 09:03:00","HRV","41.83042"
"2022-01-08 09:03:00","Time In Deep Sleep","2.179486"
"2022-01-08 09:03:00","Time In REM Sleep","2.6554253"
"2022-01-08 09:03:00","Notes","WHOOP Recovery Score: 40"
"2022-01-08 09:03:00","Number Times Woken","19"
"2022-01-08 09:03:00","Pulse","59"
"2022-01-08 09:03:00","Sleep Hours","10.21"
"2022-01-08 09:03:00","Time In Light Sleep","5.3702655"
"2022-01-09 06:43:00","Sleep Hours","8.15"
"2022-01-09 06:43:00","Number Times Woken","26"
"2022-01-09 06:43:00","Time In REM Sleep","2.645283"
"2022-01-09 06:43:00","Notes","WHOOP Recovery Score: 80"
"2022-01-09 06:43:00","Pulse","51"
"2022-01-09 06:43:00","Time In Light Sleep","3.4153218"
"2022-01-09 06:43:00","Time Awake","1.2380059"
"2022-01-09 06:43:00","Time In Deep Sleep","2.0848215"
"2022-01-09 06:43:00","HRV","68.3012"
"2022-01-09 06:53:00","Weight Pounds","177.11"
"2022-01-09 09:29:00","Weight Pounds","176.27"
"2022-01-10 05:19:00","Time In Deep Sleep","1.5198319"
"2022-01-10 05:19:00","Time Awake","0.8286314"
"2022-01-10 05:19:00","HRV","43.991867"
"2022-01-10 05:19:00","Notes","WHOOP Recovery Score: 32"
"2022-01-10 05:19:00","Time In Light Sleep","3.5140116"
"2022-01-10 05:19:00","Time In REM Sleep","1.486683"
"2022-01-10 05:19:00","Number Times Woken","14"
"2022-01-10 05:19:00","Pulse","58"
"2022-01-10 05:19:00","Sleep Hours","6.52"
"2022-01-11 06:33:00","Sleep Hours","6.88"
"2022-01-11 06:33:00","Time In Light Sleep","2.9564857"
"2022-01-11 06:33:00","Time In REM Sleep","1.7837206"
"2022-01-11 06:33:00","Pulse","54"
"2022-01-11 06:33:00","Notes","WHOOP Recovery Score: 62"
"2022-01-11 06:33:00","Number Times Woken","23"
"2022-01-11 06:33:00","Time In Deep Sleep","2.138566"
"2022-01-11 06:33:00","Time Awake","2.1273205"
"2022-01-11 06:33:00","HRV","54.29524"
"2022-01-11 06:36:00","Weight Pounds","176.87"
"2022-01-12 04:59:00","Time In Deep Sleep","1.3725024"
"2022-01-12 04:59:00","HRV","65.423904"
"2022-01-12 04:59:00","Time Awake","0.81873804"
"2022-01-12 04:59:00","Time In REM Sleep","1.7425717"
"2022-01-12 04:59:00","Notes","WHOOP Recovery Score: 73"
"2022-01-12 04:59:00","Time In Light Sleep","3.1792185"
"2022-01-12 04:59:00","Pulse","51"
"2022-01-12 04:59:00","Sleep Hours","6.29"
"2022-01-12 04:59:00","Number Times Woken","16"
"2022-01-12 05:03:00","Weight Pounds","176.90"
"2022-01-13 06:47:00","Time Awake","1.4620792"
"2022-01-13 06:47:00","HRV","59.40652"
"2022-01-13 06:47:00","Time In Deep Sleep","1.8957906"
"2022-01-13 06:47:00","Time In Light Sleep","4.361327"
"2022-01-13 06:47:00","Notes","WHOOP Recovery Score: 62"
"2022-01-13 06:47:00","Sleep Hours","8.01"
"2022-01-13 06:47:00","Pulse","52"
"2022-01-13 06:47:00","Number Times Woken","25"
"2022-01-13 06:47:00","Time In REM Sleep","1.7524525"
"2022-01-13 06:51:00","Weight Pounds","175.53"
"2022-01-13 06:51:00","Percent Fat","13.38"
"2022-01-13 17:28:00","Weight Pounds","173.83"
"2022-01-14 05:41:00","HRV","70.09262"
"2022-01-14 05:41:00","Time In Deep Sleep","1.4329273"
"2022-01-14 05:41:00","Time Awake","1.1184672"
"2022-01-14 05:41:00","Time In REM Sleep","2.1252024"
"2022-01-14 05:41:00","Sleep Hours","7.79"
"2022-01-14 05:41:00","Number Times Woken","9"
"2022-01-14 05:41:00","Pulse","53"
"2022-01-14 05:41:00","Notes","WHOOP Recovery Score: 77"
"2022-01-14 05:41:00","Time In Light Sleep","4.231374"
"2022-01-14 05:52:00","Weight Pounds","175.27"
"2022-01-14 18:05:00","Weight Pounds","174.39"
"2022-01-14 18:05:00","Percent Fat","13.56"
"2022-01-15 05:04:00","Time In Light Sleep","3.100089"
"2022-01-15 05:04:00","Notes","WHOOP Recovery Score: 58"
"2022-01-15 05:04:00","Sleep Hours","6.74"
"2022-01-15 05:04:00","Number Times Woken","16"
"2022-01-15 05:04:00","Pulse","54"
"2022-01-15 05:04:00","HRV","61.59541"
"2022-01-15 05:04:00","Time Awake","1.326773"
"2022-01-15 05:04:00","Time In Deep Sleep","1.951135"
"2022-01-15 05:04:00","Time In REM Sleep","1.6885531"
"2022-01-15 05:07:00","Weight Pounds","176.09"
"2022-01-16 06:57:00","HRV","60.529285"
"2022-01-16 06:57:00","Time Awake","0.69948864"
"2022-01-16 06:57:00","Time In Deep Sleep","1.7783955"
"2022-01-16 06:57:00","Sleep Hours","7.30"
"2022-01-16 06:57:00","Notes","WHOOP Recovery Score: 58"
"2022-01-16 06:57:00","Pulse","55"
"2022-01-16 06:57:00","Time In Light Sleep","2.7736053"
"2022-01-16 06:57:00","Number Times Woken","15"
"2022-01-16 06:57:00","Time In REM Sleep","2.7484934"
"2022-01-16 08:09:15","Weight Pounds","178.00"
"2022-01-16 08:39:00","Notes","WHOOP Recovery Score: 58"
"2022-01-16 08:39:00","Time In Light Sleep","3.8511674"
"2022-01-16 08:39:00","Sleep Hours","8.29"
"2022-01-16 08:39:00","Pulse","55"
"2022-01-16 08:39:00","Number Times Woken","15"
"2022-01-16 08:39:00","Time In Deep Sleep","1.7783955"
"2022-01-16 08:39:00","Time Awake","1.3651938"
"2022-01-16 08:39:00","HRV","60.21683"
"2022-01-16 08:39:00","Time In REM Sleep","2.6599884"
"2022-01-16 14:41:00","Weight Pounds","176.82"
"2022-01-17 00:00:00","Weight Pounds","179.30"
"2022-01-17 04:34:00","Notes","WHOOP Recovery Score: 50"
"2022-01-17 04:34:00","Sleep Hours","5.72"
"2022-01-17 04:34:00","Pulse","57"
"2022-01-17 04:34:00","Number Times Woken","14"
"2022-01-17 04:34:00","Time In Light Sleep","3.552216"
"2022-01-17 04:34:00","Time In Deep Sleep","1.350032"
"2022-01-17 04:34:00","Time Awake","0.780498"
"2022-01-17 04:34:00","HRV","62.102577"
"2022-01-17 04:34:00","Time In REM Sleep","0.81338304"
"2022-01-18 07:19:00","Weight Pounds","176.87"
"2022-01-19 06:11:00","HRV","103.06008"
"2022-01-19 06:11:00","Time In Deep Sleep","1.2043145"
"2022-01-19 06:11:00","Time Awake","1.1160672"
"2022-01-19 06:11:00","Number Times Woken","12"
"2022-01-19 06:11:00","Notes","WHOOP Recovery Score: 96"
"2022-01-19 06:11:00","Time In Light Sleep","3.9174702"
"2022-01-19 06:11:00","Sleep Hours","7.20"
"2022-01-19 06:11:00","Pulse","46"
"2022-01-19 06:11:00","Time In REM Sleep","2.073312"
"2022-01-19 06:16:00","Weight Pounds","174.20"
"2022-01-19 06:16:00","Percent Fat","12.98"
"2022-01-19 11:57:00","Weight Pounds","172.41"
"2022-01-20 04:42:00","Time Awake","0.7481511"
"2022-01-20 04:42:00","Time In Deep Sleep","1.2139455"
"2022-01-20 04:42:00","HRV","73.62201"
"2022-01-20 04:42:00","Time In REM Sleep","1.3510958"
"2022-01-20 04:42:00","Notes","WHOOP Recovery Score: 72"
"2022-01-20 04:42:00","Number Times Woken","9"
"2022-01-20 04:42:00","Time In Light Sleep","3.1051426"
"2022-01-20 04:42:00","Pulse","48"
"2022-01-20 04:42:00","Sleep Hours","5.67"
"2022-01-20 04:56:00","Percent Fat","13.66"
"2022-01-20 04:56:00","Weight Pounds","174.80"
"2022-01-21 05:41:00","Time In Deep Sleep","1.6468498"
"2022-01-21 05:41:00","Time Awake","1.1903961"
"2022-01-21 05:41:00","HRV","57.698788"
"2022-01-21 05:41:00","Number Times Woken","21"
"2022-01-21 05:41:00","Pulse","55"
"2022-01-21 05:41:00","Sleep Hours","7.26"
"2022-01-21 05:41:00","Notes","WHOOP Recovery Score: 48"
