"Timestamp","Type","Value"
"2013-01-09 09:29:18","Notes","63.1%"
"2013-01-09 09:29:18","Weight Pounds","167.31"
"2013-01-10 09:32:07","Weight Pounds","166.40"
"2013-01-10 09:32:07","Notes","62.9%"
"2013-01-12 08:50:17","Weight Pounds","167.79"
"2013-01-12 08:50:17","Sleep Hours","7.00"
"2013-01-12 08:50:17","Notes","63.2%"
"2013-01-22 15:03:52","Sleep Hours","9.00"
"2013-01-22 15:03:52","Notes","62.8%, 41 am hr (2m avg)"
"2013-01-22 15:03:52","Weight Pounds","167.60"
"2013-01-29 00:00:00","Weight Pounds","169.20"
"2013-01-29 00:00:00","Sleep Hours","9.00"
"2013-01-29 00:00:00","Notes","64%.  Fuck I'm fat."
"2013-01-30 00:00:00","Notes","63.3%; Feel tired."
"2013-01-30 00:00:00","Pulse","41"
"2013-01-30 00:00:00","Weight Pounds","169.20"
"2013-01-31 00:00:00","Weight Pounds","168.81"
"2013-01-31 00:00:00","Notes","62.8%; Low pulse rate.  Feel like an angry beast"
"2013-01-31 00:00:00","Pulse","39"
"2013-02-01 09:25:13","Notes","64%;  Jesus, I really need to stop eating.  Feel like asshole."
"2013-02-01 09:25:13","Pulse","44"
"2013-02-01 09:25:13","Weight Pounds","169.80"
"2013-02-06 00:00:00","Notes","62.8%"
"2013-02-06 00:00:00","Weight Pounds","168.81"
"2013-02-11 19:32:03","Weight Pounds","168.61"
"2013-02-11 19:32:03","Notes","62.8%"
"2013-02-11 19:32:03","Pulse","39"
"2013-02-11 19:32:03","Sleep Hours","7.50"
"2013-04-24 15:58:47","Weight Pounds","167.51"
"2013-04-24 15:58:47","Notes","63.2%"
"2013-05-06 10:18:46","Notes","62.8%"
"2013-05-06 10:18:46","Weight Pounds","167.79"
"2013-05-11 00:00:00","Weight Pounds","166.40"
"2013-05-11 00:00:00","Water Percent","62.8"
"2013-06-16 18:36:01","Weight Pounds","165.19"
"2013-06-16 18:36:01","Notes","63%"
"2013-07-07 00:00:00","Weight Pounds","163.00"
"2013-07-11 08:12:07","Weight Pounds","164.20"
"2013-07-17 10:52:48","Weight Pounds","165.59"
"2013-07-17 10:52:48","Water Percent","63"
"2013-07-29 00:00:00","Weight Pounds","166.80"
"2013-08-04 09:53:03","Weight Pounds","168.20"
"2013-08-04 09:53:03","Sleep Hours","8.00"
"2013-08-05 08:49:31","Weight Pounds","167.99"
"2013-08-05 08:49:31","Sleep Hours","6.00"
"2013-08-05 08:49:31","Water Percent","63"
"2013-09-22 00:00:00","Weight Pounds","170.00"
"2013-10-07 09:13:56","Notes","FUCK!"
"2013-10-07 09:13:56","Weight Pounds","173.20"
"2013-10-07 09:13:56","Sleep Hours","7.50"
"2013-10-16 12:53:25","Weight Pounds","169.80"
"2013-11-18 11:44:10","Weight Pounds","168.19"
"2013-11-18 11:44:10","Sleep Hours","9.00"
