"Timestamp","Type","Value"
"2016-02-27 18:34:23","Weight Pounds","172.20"
"2016-02-28 17:02:35","Weight Pounds","172.50"
"2016-03-06 00:00:00","Weight Pounds","182.40"
"2016-03-06 00:00:00","Sleep Hours","8.00"
"2016-03-06 00:00:00","Water Percent","59.8"
"2016-04-17 23:59:00","Steps","0"
"2016-04-18 23:59:00","Steps","0"
"2016-04-19 23:59:00","Steps","0"
"2016-04-20 23:59:00","Steps","0"
"2016-04-21 23:59:00","Steps","0"
"2016-04-22 23:59:00","Steps","0"
"2016-04-23 23:59:00","Steps","0"
"2016-04-24 23:59:00","Steps","0"
"2016-04-25 23:59:00","Steps","0"
"2016-04-26 23:59:00","Steps","0"
"2016-04-27 23:59:00","Steps","0"
"2016-04-28 23:59:00","Steps","0"
"2016-04-29 23:59:00","Steps","0"
"2016-04-30 23:59:00","Steps","0"
"2016-05-01 23:59:00","Steps","0"
"2016-05-02 23:59:00","Steps","0"
"2016-05-03 23:59:00","Steps","0"
"2016-05-04 23:59:00","Steps","0"
"2016-05-05 23:59:00","Steps","0"
"2016-05-06 23:59:00","Steps","0"
"2016-05-07 23:59:00","Steps","0"
"2016-05-08 23:59:00","Steps","0"
"2016-05-09 23:59:00","Steps","0"
"2016-05-10 23:59:00","Steps","0"
"2016-05-11 23:59:00","Steps","0"
"2016-05-12 23:59:00","Steps","0"
"2016-05-13 23:59:00","Steps","0"
"2016-05-14 23:59:00","Steps","0"
"2016-05-15 23:59:00","Steps","0"
"2016-05-16 23:59:00","Steps","0"
"2016-05-17 00:00:00","Steps","16086"
"2016-05-17 00:00:00","Weight Pounds","173.94"
"2016-05-17 00:00:00","BMI","22.33"
"2016-05-17 00:00:00","Pulse","51"
"2016-05-17 23:59:00","Pulse","51"
"2016-05-17 23:59:00","Steps","16086"
"2016-05-17 23:59:00","Weight Pounds","173.94"
"2016-05-17 23:59:00","BMI","22.33"
"2016-05-18 00:00:00","BMI","22.06"
"2016-05-18 00:00:00","Weight Pounds","171.74"
"2016-05-18 00:00:00","Sleep Hours","8.10"
"2016-05-18 00:00:00","Percent Fat","9.00"
"2016-05-18 00:00:00","Pulse","55"
"2016-05-18 00:00:00","Steps","10928"
"2016-05-18 00:00:00","Time Awake","0.45"
"2016-05-18 07:01:00","Time Awake","0.45"
"2016-05-18 07:01:00","Sleep Hours","8.10"
"2016-05-19 00:00:00","Sleep Hours","8.63"
"2016-05-19 00:00:00","Pulse","58"
"2016-05-19 00:00:00","Time Awake","0.733333"
"2016-05-19 00:00:00","Steps","18428"
"2016-05-19 00:00:00","Number Times Woken","2"
"2016-05-20 00:00:00","Time Awake","0.6"
"2016-05-20 00:00:00","Steps","13130"
"2016-05-20 00:00:00","Number Times Woken","2"
"2016-05-20 00:00:00","Sleep Hours","6.45"
"2016-05-20 00:00:00","Pulse","59"
"2016-05-21 00:00:00","Sleep Hours","8.62"
"2016-05-21 00:00:00","Pulse","60"
"2016-05-21 00:00:00","Weight Pounds","173.80"
"2016-05-21 00:00:00","Time Awake","1.01667"
"2016-05-21 00:00:00","Steps","30181"
"2016-05-21 00:00:00","Number Times Woken","2"
"2016-05-22 00:00:00","Steps","19461"
"2016-05-22 00:00:00","Time Awake","0.5"
"2016-05-22 00:00:00","Number Times Woken","1"
"2016-05-22 00:00:00","Sleep Hours","7.13"
"2016-05-22 00:00:00","Pulse","61"
"2016-05-23 00:00:00","Pulse","60"
"2016-05-23 00:00:00","Sleep Hours","7.70"
"2016-05-23 00:00:00","Time Awake","0.616667"
"2016-05-23 00:00:00","Steps","6778"
"2016-05-23 00:00:00","Muscle Mass Pounds","1.00"
"2016-05-23 00:00:00","Number Times Woken","1"
"2016-05-24 00:00:00","Steps","6808"
"2016-05-24 00:00:00","Time Awake","14.0667"
"2016-05-24 00:00:00","Sleep Hours","4.43"
"2016-05-24 00:00:00","Pulse","59"
"2016-05-25 00:00:00","Pulse","61"
"2016-05-25 00:00:00","Sleep Hours","6.70"
"2016-05-25 00:00:00","Time Awake","0.266667"
"2016-05-25 00:00:00","Number Times Woken","1"
"2016-05-25 00:00:00","Steps","21121"
"2016-05-26 00:00:00","Number Times Woken","1"
"2016-05-26 00:00:00","Steps","3291"
"2016-05-26 00:00:00","Time Awake","0.4"
"2016-05-26 00:00:00","Sleep Hours","7.27"
"2016-05-26 00:00:00","Pulse","59"
"2016-09-01 00:00:00","Weight Pounds","187.00"
"2016-10-17 13:27:00","Number Times Woken","0"
"2016-10-17 13:27:00","Time In Deep Sleep","1.28333333333333"
"2016-10-17 13:27:00","Time Awake","0.0833333333333333"
"2016-10-17 13:27:00","Sleep Hours","9.17"
"2016-10-17 13:27:00","Time In Light Sleep","7.88333333333333"
"2016-10-18 14:05:00","Time In Light Sleep","7.53333333333333"
"2016-10-18 14:05:00","Time In Deep Sleep","2.58333333333333"
"2016-10-18 14:05:00","Time Awake","0.316666666666667"
"2016-10-18 14:05:00","Sleep Hours","10.12"
"2016-10-18 14:05:00","Number Times Woken","0"
"2016-10-19 12:24:00","Time In Deep Sleep","2.33333333333333"
"2016-10-19 12:24:00","Number Times Woken","0"
"2016-10-19 12:24:00","Sleep Hours","6.47"
"2016-10-19 12:24:00","Time Awake","0.0166666666666667"
"2016-10-19 12:24:00","Time In Light Sleep","4.13333333333333"
"2016-10-20 14:11:00","Time In Light Sleep","6.11666666666667"
"2016-10-20 14:11:00","Sleep Hours","8.05"
"2016-10-20 14:11:00","Number Times Woken","0"
"2016-10-20 14:11:00","Time Awake","0.1"
"2016-10-20 14:11:00","Time In Deep Sleep","1.93333333333333"
"2016-10-21 14:04:00","Time In Deep Sleep","1.96666666666667"
"2016-10-21 14:04:00","Number Times Woken","0"
"2016-10-21 14:04:00","Sleep Hours","8.65"
"2016-10-21 14:04:00","Time Awake","0.05"
"2016-10-21 14:04:00","Time In Light Sleep","6.68333333333333"
"2016-10-22 15:10:00","Time In Light Sleep","5.88333333333333"
"2016-10-22 15:10:00","Time In Deep Sleep","3.15"
"2016-10-22 15:10:00","Number Times Woken","0"
"2016-10-22 15:10:00","Sleep Hours","9.03"
"2016-10-23 14:53:00","Number Times Woken","0"
"2016-10-23 14:53:00","Time In Deep Sleep","1.33333333333333"
"2016-10-23 14:53:00","Sleep Hours","8.52"
"2016-10-23 14:53:00","Time In Light Sleep","7.18333333333333"
"2016-10-23 19:37:00","Pulse","68"
"2016-10-23 19:37:00","HRV","7.8"
"2016-10-24 07:12:00","HRV","9.5"
"2016-10-24 07:12:00","Pulse","53"
"2016-10-24 13:51:00","Time Awake","0.1"
"2016-10-24 13:51:00","Sleep Hours","8.95"
"2016-10-24 13:51:00","Time In Deep Sleep","0.933333333333333"
"2016-10-24 13:51:00","Number Times Woken","0"
"2016-10-24 13:51:00","Time In Light Sleep","8.01666666666667"
"2016-10-25 08:18:00","Pulse","49"
"2016-10-25 08:18:00","HRV","10.1"
"2016-10-25 14:13:00","Time In Light Sleep","6.2"
"2016-10-25 14:13:00","Time Awake","0.0833333333333333"
"2016-10-25 14:13:00","Sleep Hours","7.98"
"2016-10-25 14:13:00","Time In Deep Sleep","1.78333333333333"
"2016-10-25 14:13:00","Number Times Woken","0"
"2016-10-26 08:04:00","Pulse","45"
"2016-10-26 08:04:00","HRV","10.3"
"2016-10-26 14:15:00","Time Awake","0.15"
"2016-10-26 14:15:00","Time In Deep Sleep","1.45"
"2016-10-26 14:15:00","Sleep Hours","8.90"
"2016-10-26 14:15:00","Number Times Woken","0"
"2016-10-26 14:15:00","Time In Light Sleep","7.45"
"2016-10-27 07:55:00","HRV","10.1"
"2016-10-27 07:55:00","Pulse","49"
"2016-10-27 13:53:00","Sleep Hours","9.98"
"2016-10-27 13:53:00","Time Awake","0.05"
"2016-10-27 13:53:00","Time In Deep Sleep","2.48333333333333"
"2016-10-27 13:53:00","Number Times Woken","0"
"2016-10-27 13:53:00","Time In Light Sleep","7.5"
"2016-10-28 06:29:00","Pulse","47"
"2016-10-28 06:29:00","HRV","10.3"
"2016-10-28 12:20:00","Time In Light Sleep","5.28333333333333"
"2016-10-28 12:20:00","Time Awake","0.116666666666667"
"2016-10-28 12:20:00","Sleep Hours","7.20"
"2016-10-28 12:20:00","Number Times Woken","0"
"2016-10-28 12:20:00","Time In Deep Sleep","1.91666666666667"
"2016-10-29 12:39:00","Sleep Hours","8.98"
"2016-10-29 12:39:00","Number Times Woken","0"
"2016-10-29 12:39:00","Time In Deep Sleep","5.11666666666667"
"2016-10-29 12:39:00","Time Awake","0.5"
"2016-10-29 12:39:00","Time In Light Sleep","3.86666666666667"
"2016-10-30 09:45:00","HRV","7.6"
"2016-10-30 09:45:00","Pulse","68"
"2016-10-30 15:39:00","Time In Deep Sleep","3.55"
"2016-10-30 15:39:00","Time Awake","0.0833333333333333"
"2016-10-30 15:39:00","Sleep Hours","8.83"
"2016-10-30 15:39:00","Number Times Woken","0"
"2016-10-30 15:39:00","Time In Light Sleep","5.28333333333333"
"2016-10-31 07:41:00","Water Percent","0"
"2016-10-31 07:41:00","Pulse","48"
"2016-10-31 07:41:00","HRV","10.1"
"2016-10-31 13:34:00","Time In Light Sleep","7.91666666666667"
"2016-10-31 13:34:00","Number Times Woken","0"
"2016-10-31 13:34:00","Sleep Hours","9.28"
"2016-10-31 13:34:00","Time Awake","0.15"
"2016-10-31 13:34:00","Time In Deep Sleep","1.36666666666667"
"2016-11-01 07:16:00","Pulse","48"
"2016-11-01 07:16:00","HRV","10.2"
"2016-11-01 07:16:00","Water Percent","1"
"2016-11-01 13:23:00","Time In Light Sleep","8.3"
"2016-11-01 13:23:00","Time Awake","0.6"
"2016-11-01 13:23:00","Sleep Hours","9.95"
"2016-11-01 13:23:00","Time In Deep Sleep","1.65"
"2016-11-01 13:23:00","Number Times Woken","0"
"2016-11-02 06:37:00","Pulse","50"
"2016-11-02 06:37:00","Water Percent","9"
"2016-11-02 06:37:00","HRV","9.8"
"2016-11-02 13:14:00","Time In Deep Sleep","2.23333333333333"
"2016-11-02 13:14:00","Sleep Hours","9.40"
"2016-11-02 13:14:00","Number Times Woken","0"
"2016-11-02 13:14:00","Time Awake","0.333333333333333"
"2016-11-02 13:14:00","Time In Light Sleep","7.16666666666667"
"2016-11-03 08:11:00","Water Percent","0"
"2016-11-03 08:11:00","HRV","6.3"
"2016-11-03 08:11:00","Pulse","67"
"2016-11-03 14:10:00","Number Times Woken","0"
"2016-11-03 14:10:00","Sleep Hours","7.10"
"2016-11-03 14:10:00","Time In Deep Sleep","4.03333333333333"
"2016-11-03 14:10:00","Time In Light Sleep","3.06666666666667"
"2016-11-04 06:42:00","Pulse","58"
"2016-11-04 06:42:00","HRV","8.8"
"2016-11-04 12:55:00","Time In Light Sleep","5.05"
"2016-11-04 12:55:00","Time In Deep Sleep","1.48333333333333"
"2016-11-04 12:55:00","Number Times Woken","0"
"2016-11-04 12:55:00","Sleep Hours","6.53"
"2016-11-05 08:17:00","Pulse","50"
"2016-11-05 08:17:00","HRV","10.8"
"2016-11-05 14:26:00","Time In Deep Sleep","3.06666666666667"
"2016-11-05 14:26:00","Sleep Hours","7.18"
"2016-11-05 14:26:00","Number Times Woken","0"
"2016-11-05 14:26:00","Time In Light Sleep","4.11666666666667"
"2016-11-06 08:10:00","HRV","9.9"
"2016-11-06 08:10:00","Pulse","53"
"2016-11-06 15:06:00","Number Times Woken","0"
"2016-11-06 15:06:00","Sleep Hours","8.80"
"2016-11-06 15:06:00","Time Awake","0.0833333333333333"
"2016-11-06 15:06:00","Time In Deep Sleep","2"
"2016-11-06 15:06:00","Time In Light Sleep","6.8"
"2016-11-07 06:30:00","Pulse","53"
"2016-11-07 06:30:00","HRV","10.3"
"2016-11-07 13:12:00","Time In Light Sleep","6.03333333333333"
"2016-11-07 13:12:00","Sleep Hours","7.10"
"2016-11-07 13:12:00","Number Times Woken","0"
"2016-11-07 13:12:00","Time Awake","0.05"
"2016-11-07 13:12:00","Time In Deep Sleep","1.06666666666667"
"2016-11-08 06:48:00","Pulse","46"
"2016-11-08 06:48:00","HRV","10.5"
"2016-11-08 13:53:00","Sleep Hours","9.95"
"2016-11-08 13:53:00","Number Times Woken","0"
"2016-11-08 13:53:00","Time In Deep Sleep","1.98333333333333"
"2016-11-08 13:53:00","Time Awake","0.116666666666667"
"2016-11-08 13:53:00","Time In Light Sleep","7.96666666666667"
"2016-11-09 07:02:00","Weight Pounds","174.40"
"2016-11-09 07:02:00","Water Percent","64"
"2016-11-09 07:02:00","HRV","10.7"
"2016-11-09 07:02:00","Pulse","53"
"2016-11-09 13:56:00","Time In Deep Sleep","4.08333333333333"
"2016-11-09 13:56:00","Number Times Woken","0"
"2016-11-09 13:56:00","Time Awake","0.2"
"2016-11-09 13:56:00","Sleep Hours","7.05"
"2016-11-09 13:56:00","Time In Light Sleep","2.96666666666667"
"2016-11-10 06:38:00","Water Percent","63.2000007629395"
"2016-11-10 06:38:00","Weight Pounds","173.00"
"2016-11-10 06:38:00","Pulse","49"
"2016-11-10 06:38:00","HRV","10.5"
"2016-11-10 13:58:00","Time In Light Sleep","5.9"
"2016-11-10 13:58:00","Sleep Hours","7.73"
"2016-11-10 13:58:00","Number Times Woken","0"
"2016-11-10 13:58:00","Time In Deep Sleep","1.83333333333333"
"2016-11-10 13:58:00","Time Awake","0.0833333333333333"
"2016-11-11 07:25:00","Pulse","55"
"2016-11-11 07:25:00","HRV","9.4"
"2016-11-11 07:25:00","Water Percent","62.7999992370605"
"2016-11-11 07:25:00","Weight Pounds","173.20"
"2016-11-11 14:30:00","Time In Light Sleep","7.06666666666667"
"2016-11-11 14:30:00","Time Awake","0.2"
"2016-11-11 14:30:00","Sleep Hours","9.15"
"2016-11-11 14:30:00","Number Times Woken","0"
"2016-11-11 14:30:00","Time In Deep Sleep","2.08333333333333"
"2016-11-12 08:49:00","Pulse","43"
