"Timestamp","Type","Value"
"2018-01-08 07:06:00","Pulse","55"
"2018-01-08 07:06:00","HRV","8.8"
"2018-01-08 07:30:00","Weight Pounds","177.62"
"2018-01-08 07:30:00","Percent Fat","7.25"
"2018-01-09 07:17:00","HRV","8.2"
"2018-01-09 07:17:00","Pulse","55"
"2018-01-09 07:24:00","Weight Pounds","176.83"
"2018-01-09 07:24:00","Percent Fat","6.88"
"2018-01-09 16:07:00","Percent Fat","8.50"
"2018-01-09 16:07:00","Weight Pounds","177.31"
"2018-01-10 06:36:00","HRV","9.1"
"2018-01-10 06:36:00","Pulse","51"
"2018-01-10 06:49:00","Percent Fat","7.25"
"2018-01-10 06:49:00","Weight Pounds","176.59"
"2018-01-11 07:01:00","HRV","8"
"2018-01-11 07:01:00","Pulse","56"
"2018-01-11 07:19:00","Weight Pounds","176.17"
"2018-01-11 07:19:00","Percent Fat","7.07"
"2018-01-11 16:27:00","Percent Fat","10.35"
"2018-01-11 16:27:00","Weight Pounds","175.58"
"2018-01-12 07:56:00","HRV","8.3"
"2018-01-12 07:56:00","Pulse","62"
"2018-01-12 08:07:00","Weight Pounds","175.90"
"2018-01-12 08:07:00","Percent Fat","6.96"
"2018-01-13 08:38:00","Pulse","57"
"2018-01-13 08:38:00","HRV","8"
"2018-01-13 08:49:00","Percent Fat","7.04"
"2018-01-13 08:49:00","Weight Pounds","176.50"
"2018-01-13 15:37:00","Time Awake","0.0833333333333333"
"2018-01-13 15:37:00","Time In Light Sleep","6.38333333333333"
"2018-01-13 15:37:00","Time In Deep Sleep","1.43333333333333"
"2018-01-13 15:37:00","Sleep Hours","7.82"
"2018-01-13 15:37:00","Number Times Woken","0"
"2018-01-13 16:46:00","Weight Pounds","174.17"
"2018-01-13 16:46:00","Percent Fat","9.85"
"2018-01-14 09:06:00","Weight Pounds","174.39"
"2018-01-14 09:06:00","Percent Fat","8.05"
"2018-01-14 15:40:00","Time In Deep Sleep","2.45"
"2018-01-14 15:40:00","Time Awake","0.25"
"2018-01-14 15:40:00","Time In Light Sleep","6.2"
"2018-01-14 15:40:00","Sleep Hours","8.65"
"2018-01-14 15:40:00","Number Times Woken","4"
"2018-01-14 16:31:00","Weight Pounds","172.92"
"2018-01-14 16:31:00","Percent Fat","11.17"
"2018-01-15 08:08:00","Percent Fat","6.65"
"2018-01-15 08:08:00","Weight Pounds","174.35"
"2018-01-16 00:00:00","Weight Pounds","175.90"
"2018-01-17 07:26:00","Pulse","52"
"2018-01-17 07:26:00","HRV","9.2"
"2018-01-17 08:08:00","Percent Fat","6.65"
"2018-01-17 08:08:00","Weight Pounds","175.50"
"2018-01-18 07:38:00","HRV","7.8"
"2018-01-18 07:38:00","Pulse","57"
"2018-01-18 08:55:20","Weight Pounds","176.60"
"2018-01-19 08:34:01","Weight Pounds","174.50"
"2018-01-20 08:18:59","Weight Pounds","173.80"
"2018-01-21 09:11:00","Percent Fat","6.93"
"2018-01-21 09:11:00","Weight Pounds","175.59"
"2018-01-21 15:27:00","Weight Pounds","174.92"
"2018-01-21 15:27:00","Percent Fat","6.36"
"2018-01-22 05:29:00","Weight Pounds","174.15"
"2018-01-22 05:29:00","Percent Fat","6.89"
"2018-01-23 07:14:00","Weight Pounds","173.74"
"2018-01-23 07:14:00","Percent Fat","6.70"
"2018-01-24 07:20:00","Percent Fat","6.29"
"2018-01-24 07:20:00","Weight Pounds","172.73"
"2018-01-24 23:47:00","Weight Pounds","174.73"
"2018-01-24 23:47:00","Percent Fat","9.11"
"2018-01-25 07:26:00","Weight Pounds","172.51"
"2018-01-25 07:26:00","Percent Fat","6.29"
"2018-01-26 07:06:00","Percent Fat","7.17"
"2018-01-26 07:06:00","Weight Pounds","174.58"
"2018-01-27 07:58:00","Percent Fat","6.70"
"2018-01-27 07:58:00","Weight Pounds","173.51"
"2018-01-27 14:39:00","Percent Fat","6.27"
"2018-01-27 14:39:00","Weight Pounds","173.44"
"2018-01-28 07:53:00","Percent Fat","6.66"
"2018-01-28 07:53:00","Weight Pounds","173.15"
"2018-01-29 07:18:00","Weight Pounds","172.59"
"2018-01-29 07:18:00","Percent Fat","6.40"
"2018-01-29 17:08:00","Weight Pounds","173.59"
"2018-01-29 17:08:00","Percent Fat","6.44"
"2018-01-30 00:00:00","Weight Pounds","173.80"
"2018-01-31 09:18:44","Water Percent","6.6"
"2018-01-31 09:18:44","Weight Pounds","173.70"
"2018-01-31 13:35:00","Time In Deep Sleep","1.71666666666667"
"2018-01-31 13:35:00","Time Awake","0.383333333333333"
"2018-01-31 13:35:00","Time In Light Sleep","8.23333333333333"
"2018-01-31 13:35:00","Sleep Hours","9.95"
"2018-01-31 13:35:00","Number Times Woken","2"
"2018-02-01 07:40:51","Weight Pounds","172.10"
"2018-02-02 07:06:00","Percent Fat","6.50"
"2018-02-02 07:06:00","Weight Pounds","171.26"
"2018-02-03 08:12:00","Percent Fat","6.22"
"2018-02-03 08:12:00","Weight Pounds","172.01"
"2018-02-03 14:13:00","Weight Pounds","168.88"
"2018-02-03 14:13:00","Percent Fat","5.43"
"2018-02-04 08:00:00","Percent Fat","6.14"
"2018-02-04 08:00:00","Weight Pounds","171.41"
"2018-02-05 07:26:00","Percent Fat","6.52"
"2018-02-05 07:26:00","Weight Pounds","172.34"
"2018-02-05 14:20:00","Time In Light Sleep","5.4"
"2018-02-05 14:20:00","Time Awake","0.0833333333333333"
"2018-02-05 14:20:00","Time In Deep Sleep","2.35"
"2018-02-05 14:20:00","Sleep Hours","7.75"
"2018-02-05 14:20:00","Number Times Woken","0"
"2018-02-06 08:06:00","Weight Pounds","172.58"
"2018-02-06 08:06:00","Percent Fat","6.67"
"2018-02-06 11:02:00","Time In Light Sleep","7.41666666666667"
"2018-02-06 11:02:00","Time In Deep Sleep","2.13333333333333"
"2018-02-06 11:02:00","Time Awake","0.0833333333333333"
"2018-02-06 11:02:00","Number Times Woken","0"
"2018-02-06 11:02:00","Sleep Hours","9.55"
"2018-02-06 17:17:00","Percent Fat","6.59"
"2018-02-06 17:17:00","Weight Pounds","171.66"
"2018-02-07 07:55:00","Weight Pounds","172.27"
"2018-02-07 07:55:00","Percent Fat","6.37"
"2018-02-07 14:44:00","Time In Deep Sleep","3.05"
"2018-02-07 14:44:00","Time In Light Sleep","5.46666666666667"
"2018-02-07 14:44:00","Time Awake","0.183333333333333"
"2018-02-07 14:44:00","Number Times Woken","3"
"2018-02-07 14:44:00","Sleep Hours","8.52"
"2018-02-08 07:30:00","Percent Fat","6.28"
"2018-02-08 07:30:00","Weight Pounds","171.68"
"2018-02-08 17:14:00","Percent Fat","5.58"
"2018-02-08 17:14:00","Weight Pounds","170.56"
"2018-02-09 06:34:00","Weight Pounds","171.01"
"2018-02-09 06:34:00","Percent Fat","5.96"
"2018-02-10 08:21:00","Percent Fat","5.43"
"2018-02-10 08:21:00","Weight Pounds","170.89"
"2018-02-10 12:17:00","Weight Pounds","171.70"
"2018-02-10 12:17:00","Percent Fat","5.79"
"2018-02-11 06:23:00","Weight Pounds","171.50"
"2018-02-11 06:23:00","Percent Fat","6.88"
"2018-02-12 07:31:00","Weight Pounds","173.03"
"2018-02-12 07:31:00","Percent Fat","6.55"
"2018-02-13 07:21:00","Percent Fat","6.41"
"2018-02-13 07:21:00","Weight Pounds","171.85"
"2018-02-14 07:26:00","Percent Fat","6.72"
"2018-02-14 07:26:00","Weight Pounds","172.98"
"2018-02-15 06:53:00","Percent Fat","6.57"
"2018-02-15 06:53:00","Weight Pounds","171.15"
"2018-02-16 08:19:00","Weight Pounds","170.83"
"2018-02-16 08:19:00","Percent Fat","6.44"
"2018-02-17 08:02:00","Weight Pounds","171.73"
"2018-02-17 08:02:00","Percent Fat","6.43"
"2018-02-17 16:59:00","Weight Pounds","169.63"
"2018-02-17 16:59:00","Percent Fat","5.99"
"2018-02-18 07:41:00","Weight Pounds","173.28"
"2018-02-18 07:41:00","Percent Fat","6.87"
"2018-02-18 16:01:00","Percent Fat","6.56"
"2018-02-18 16:01:00","Weight Pounds","171.72"
"2018-02-19 07:50:00","Weight Pounds","173.25"
"2018-02-19 07:50:00","Percent Fat","6.73"
"2018-02-20 06:27:00","Weight Pounds","173.21"
"2018-02-20 06:27:00","Percent Fat","7.04"
"2018-02-21 07:16:00","Weight Pounds","172.65"
"2018-02-21 07:16:00","Percent Fat","6.73"
