"Timestamp","Type","Value"
"2019-01-08 07:00:00","Percent Fat","5.47"
"2019-01-08 07:00:00","Weight Pounds","171.66"
"2019-01-09 07:57:00","Weight Pounds","172.70"
"2019-01-09 07:57:00","Percent Fat","4.91"
"2019-01-10 08:33:00","Percent Fat","5.45"
"2019-01-10 08:33:00","Weight Pounds","172.65"
"2019-01-10 15:10:00","Weight Pounds","171.52"
"2019-01-10 15:10:00","Percent Fat","7.42"
"2019-01-11 09:26:00","Percent Fat","6.92"
"2019-01-11 09:26:00","Weight Pounds","172.31"
"2019-01-12 08:06:00","Weight Pounds","170.47"
"2019-01-12 08:06:00","Percent Fat","5.47"
"2019-01-13 07:42:00","Percent Fat","5.21"
"2019-01-13 07:42:00","Weight Pounds","170.88"
"2019-01-13 16:58:00","Weight Pounds","168.48"
"2019-01-13 16:58:00","Percent Fat","8.62"
"2019-01-14 06:59:00","Percent Fat","6.02"
"2019-01-14 06:59:00","Weight Pounds","171.72"
"2019-01-15 08:25:00","Weight Pounds","171.62"
"2019-01-15 08:25:00","Percent Fat","5.10"
"2019-01-16 08:35:00","Weight Pounds","171.97"
"2019-01-17 08:45:50","Weight Pounds","173.50"
"2019-01-18 00:00:00","Weight Pounds","174.00"
"2019-01-19 00:00:00","Weight Pounds","173.00"
"2019-01-19 17:44:00","Weight Pounds","169.13"
"2019-01-20 07:27:00","Weight Pounds","172.55"
"2019-01-20 17:30:00","Weight Pounds","170.41"
"2019-01-21 07:15:00","Weight Pounds","172.94"
"2019-01-22 07:11:00","Weight Pounds","171.35"
"2019-01-22 07:11:00","Percent Fat","5.22"
"2019-01-23 06:25:00","Weight Pounds","171.12"
"2019-01-23 09:28:00","Weight Pounds","170.15"
"2019-01-24 07:01:00","Weight Pounds","171.60"
"2019-01-24 16:22:00","Weight Pounds","171.90"
"2019-01-25 07:19:14","Weight Pounds","173.10"
"2019-01-25 09:27:00","Percent Fat","7.11"
"2019-01-25 09:27:00","Weight Pounds","171.17"
"2019-01-26 07:30:00","Weight Pounds","173.49"
"2019-01-26 17:36:00","Weight Pounds","171.39"
"2019-01-26 17:36:00","Percent Fat","7.16"
"2019-01-27 06:50:00","Weight Pounds","172.85"
"2019-01-28 07:07:00","Weight Pounds","170.93"
"2019-01-29 06:32:00","Weight Pounds","170.23"
"2019-01-30 06:24:00","Weight Pounds","169.94"
"2019-01-30 06:24:00","Percent Fat","4.55"
"2019-01-31 06:10:00","Weight Pounds","170.59"
"2019-02-01 06:44:00","Weight Pounds","169.90"
"2019-02-01 06:44:00","Percent Fat","4.85"
"2019-02-02 06:43:00","Weight Pounds","170.10"
"2019-02-02 17:11:00","Weight Pounds","168.07"
"2019-02-02 17:11:00","Percent Fat","7.25"
"2019-02-03 07:07:00","Percent Fat","5.73"
"2019-02-03 07:07:00","Weight Pounds","169.82"
"2019-02-03 18:22:00","Weight Pounds","169.74"
"2019-02-04 06:59:00","Weight Pounds","171.02"
"2019-02-05 07:35:00","Weight Pounds","170.32"
"2019-02-05 07:35:00","Percent Fat","4.91"
"2019-02-06 06:39:00","Percent Fat","5.16"
"2019-02-06 06:39:00","Weight Pounds","170.90"
"2019-02-07 06:26:00","Weight Pounds","171.26"
"2019-02-08 06:17:00","Weight Pounds","172.24"
"2019-02-08 09:15:00","Weight Pounds","170.43"
"2019-02-09 07:54:00","Weight Pounds","172.47"
"2019-02-09 07:54:00","Percent Fat","4.69"
"2019-02-10 06:56:00","Percent Fat","5.61"
"2019-02-10 06:56:00","Weight Pounds","170.29"
"2019-02-10 16:38:00","Weight Pounds","169.97"
"2019-02-10 16:38:00","Percent Fat","7.41"
"2019-02-11 05:44:00","Percent Fat","5.28"
"2019-02-11 05:44:00","Weight Pounds","171.04"
"2019-02-12 05:49:00","Percent Fat","4.54"
"2019-02-12 05:49:00","Weight Pounds","171.34"
"2019-02-12 08:56:00","Weight Pounds","169.55"
"2019-02-13 07:27:00","Weight Pounds","170.11"
"2019-02-13 07:27:00","Percent Fat","5.26"
"2019-02-14 06:58:00","Percent Fat","5.15"
"2019-02-14 06:58:00","Weight Pounds","169.01"
"2019-02-14 14:55:00","Weight Pounds","168.90"
"2019-02-14 14:55:00","Percent Fat","7.68"
"2019-02-15 06:46:00","Percent Fat","5.15"
"2019-02-15 06:46:00","Weight Pounds","169.99"
"2019-02-16 06:08:00","Weight Pounds","170.14"
"2019-02-18 06:58:00","Weight Pounds","171.38"
"2019-02-18 17:02:00","Weight Pounds","169.49"
"2019-02-18 17:02:00","Percent Fat","7.28"
"2019-02-19 06:30:00","Percent Fat","5.42"
"2019-02-19 06:30:00","Weight Pounds","170.42"
"2019-02-19 17:01:00","Weight Pounds","169.14"
