date,Load,Performance
2016-09-05,98.58,
2016-09-14,64.29,1.31496062992126
2016-09-19,191.01,
2016-10-11,60.37,1.511111111111111
2016-10-21,63.25,1.696
2016-10-27,84.0,
2016-11-05,166.17,1.4198473282442747
2016-11-06,159.82,1.4122137404580153
2016-11-08,81.44,1.8455284552845528
2016-11-10,83.05,1.8285714285714285
2016-11-13,146.83,1.1804511278195489
2016-11-15,92.84,
2016-11-16,81.38,1.7153284671532847
2016-11-19,179.13,1.7883211678832116
2016-11-22,106.87,
2016-11-24,204.39,1.6102941176470589
2016-11-25,105.37,1.8676470588235294
2016-11-30,85.9,
2016-12-01,92.81,1.722972972972973
2016-12-06,63.24,1.7114093959731544
2016-12-13,91.07,1.6666666666666667
2016-12-14,85.19,1.7210884353741496
2016-12-20,61.27,1.6979865771812082
2016-12-21,97.26,
2016-12-24,60.84,1.6346153846153846
2016-12-27,83.76,
2017-01-02,234.06,1.6390977443609023
2017-01-03,58.81,1.7446808510638299
2017-01-11,107.48,
2017-01-12,105.35,
2017-01-15,194.37,1.6917293233082706
2017-01-19,233.5,1.6099290780141844
2017-01-20,229.17,1.6194029850746268
2017-01-21,306.27,1.7313432835820894
2017-01-28,143.03,
2017-01-29,235.77,1.643835616438356
2017-02-01,102.3,
2017-02-04,122.18,
2017-02-05,224.05,1.5142857142857142
2017-02-07,116.18,
2017-02-09,79.99,1.570469798657718
2017-02-10,100.56,
2017-02-11,137.71,
2017-02-12,247.99,1.7424242424242424
2017-02-15,85.73,
2017-02-17,75.88,1.631578947368421
2017-02-18,151.74,
2017-02-19,95.97,1.7619047619047619
2017-02-20,288.48,1.621212121212121
2017-02-26,197.61,1.792857142857143
2017-02-28,86.27,
2017-03-02,97.74,
2017-03-09,76.6,
2017-03-10,130.59,
2017-03-11,160.49,
2017-03-12,173.9,1.7388059701492538
2017-03-15,110.05,
2017-03-16,111.45,1.7062937062937062
2017-03-17,83.72,
2017-03-18,142.85,
2017-03-19,182.86,
2017-03-21,135.0,
2017-03-22,110.74,
2017-03-24,92.03,1.578125
2017-03-25,236.84,
2017-03-27,71.18,1.6715328467153285
2017-04-01,103.75,
2017-04-02,195.67,1.6041666666666667
2017-04-06,76.76,
2017-04-07,75.61,
2017-04-08,284.34,1.4733333333333334
2017-04-09,58.49,1.8403361344537814
2017-04-11,102.46,
2017-04-12,83.64,
2017-04-13,99.65,
2017-04-15,129.17,
2017-04-17,92.05,
2017-04-18,68.26,
2017-04-19,339.38,
2017-04-20,198.87,
2017-04-22,201.71,
2017-04-25,109.34,
2017-04-26,104.42,
2017-04-27,141.02,
2017-04-30,215.5,
2017-05-03,108.94,
2017-05-09,122.33,
2017-05-12,152.41,
2017-05-13,229.95,1.6597222222222223
2017-05-16,70.71,
2017-05-17,145.78,
2017-05-19,134.44,
2017-05-20,200.45,
2017-05-21,251.81,
2017-05-26,127.7,
2017-05-27,150.13,
2017-05-28,57.01,1.462686567164179
2017-05-29,206.91,
2017-06-02,103.38,
2017-06-03,149.18,
2017-06-04,340.54,1.7142857142857142
2017-06-07,99.44,1.8962962962962964
2017-06-09,96.36,
2017-06-10,121.68,
2017-06-11,185.0,1.624113475177305
2017-06-13,110.86,
2017-06-14,98.06,
2017-06-15,133.1,
2017-06-29,96.38,
2017-06-30,93.43,
2017-07-01,105.87,
2017-07-06,47.54,
2017-07-08,307.4,1.6666666666666667
2017-07-09,294.12,1.808
2017-07-11,53.03,1.8376068376068375
2017-07-12,112.27,
2017-07-14,147.9,
2017-07-15,113.11,
2017-07-18,98.99,
2017-07-19,63.7,
2017-07-21,296.29,
2017-07-22,83.14,1.3605442176870748
2017-07-23,221.31,
2017-07-26,117.6,
2017-07-29,145.49,
2017-07-30,197.39,
2017-09-01,95.22,1.5862068965517242
2017-09-02,79.27,1.4315068493150684
2017-09-03,165.19,1.532846715328467
2017-09-06,80.01,
2017-09-07,63.44,
2017-09-08,81.38,
2017-09-13,85.85,1.6453900709219857
2017-09-14,55.45,
2017-09-16,66.23,
2017-10-01,58.9,1.7375886524822695
2017-10-04,69.64,
2017-10-07,99.12,1.5460992907801419
2017-10-10,57.9,
2017-10-13,74.51,
2017-10-14,117.07,1.7342657342657342
2017-10-15,150.16,1.6978417266187051
2017-10-17,69.75,1.75
2017-10-19,77.5,
2017-10-21,191.69,
2017-10-22,140.42,1.4222222222222223
2017-10-24,106.63,1.8043478260869565
2017-10-27,56.66,1.7112676056338028
2017-10-29,120.33,1.6556291390728477
2017-10-31,87.27,1.7481481481481482
2017-11-01,61.76,1.8055555555555556
2017-11-04,108.22,1.6164383561643836
2017-11-05,151.89,1.7737226277372262
2017-11-08,97.4,
2017-11-09,53.14,
2017-11-11,170.39,
2017-11-13,64.3,1.7826086956521738
2017-11-15,129.03,
2017-11-17,92.63,
2017-11-18,209.37,1.7394366197183098
2017-11-19,166.78,1.5895522388059702
2017-11-21,118.19,1.7851851851851852
2017-11-22,142.92,
2017-11-23,194.64,
2017-11-24,169.17,1.7971014492753623
2017-11-25,191.85,
2017-11-28,38.57,
2017-11-30,101.21,
2017-12-01,93.12,
2017-12-02,172.97,1.6524822695035462
2017-12-03,63.7,1.7424242424242424
2017-12-04,68.74,
2017-12-05,73.28,
2017-12-06,97.8,
2017-12-08,61.69,1.669064748201439
2017-12-09,135.27,
2017-12-10,197.14,1.7205882352941178
2017-12-12,63.36,1.753968253968254
2017-12-13,108.94,
2017-12-16,152.95,
2017-12-17,196.37,1.65
2017-12-19,99.44,
2017-12-20,124.18,1.5925925925925926
2017-12-25,60.83,1.823943661971831
2017-12-26,94.65,1.7826086956521738
2017-12-27,59.83,1.7074829931972788
2017-12-28,70.58,
2017-12-29,85.4,1.7364864864864864
2018-01-03,92.67,1.7039473684210527
2018-01-04,69.86,1.638157894736842
2018-01-07,177.35,1.6838235294117647
2018-01-09,64.2,1.6785714285714286
2018-01-10,102.92,
2018-01-11,39.57,1.5396825396825398
2018-01-13,213.02,1.619718309859155
2018-01-14,198.55,1.5673758865248226
2018-01-17,68.5,1.6
2018-01-18,100.83,
2018-01-20,208.76,1.547945205479452
2018-01-24,58.63,1.678082191780822
2018-01-26,91.22,
2018-01-27,157.7,
2018-01-29,51.97,1.7266187050359711
2018-01-31,86.89,
2018-02-02,60.63,1.6241610738255035
2018-02-03,193.57,1.4965517241379311
2018-02-06,127.72,
2018-02-08,100.55,
2018-02-17,178.57,1.5413533834586466
2018-02-18,148.16,1.525925925925926
2018-02-22,101.78,1.7066666666666668
2018-02-23,74.86,1.7651006711409396
2018-02-25,188.42,1.734375
2018-02-27,84.41,
2018-02-28,70.96,1.6986301369863013
2018-03-01,107.47,
2018-03-02,26.26,
2018-03-03,226.14,1.4822695035460993
2018-03-04,168.35,1.6444444444444444
2018-03-06,72.59,1.7638888888888888
2018-03-07,104.93,
2018-03-08,90.41,
2018-03-10,113.0,
2018-03-11,163.05,
2018-03-13,108.6,
2018-03-14,105.38,
2018-03-16,91.89,1.6619718309859155
2018-03-19,96.88,
2018-03-20,92.24,1.6713286713286712
2018-03-22,104.12,
2018-03-23,102.13,1.6870748299319729
2018-03-24,239.15,1.6319444444444444
2018-03-25,226.41,1.628787878787879
2018-03-27,75.37,1.7669172932330828
2018-03-28,99.57,
2018-03-29,94.7,
2018-03-30,33.46,
2018-03-31,281.31,1.589928057553957
2018-04-01,96.58,1.7318840579710144
2018-04-03,68.68,1.7727272727272727
2018-04-04,101.17,
2018-04-05,115.58,
2018-04-07,146.95,
2018-04-08,150.28,1.5639097744360901
2018-04-10,81.02,1.7727272727272727
2018-04-11,64.73,
2018-04-12,282.62,1.5695364238410596
2018-04-13,320.49,
2018-04-14,59.19,
2018-04-15,37.87,
2018-04-16,32.49,1.6347826086956523
2018-04-17,52.94,
2018-04-18,262.95,1.5401459854014599
2018-04-20,124.31,
2018-04-21,107.2,1.2816901408450705
2018-04-22,308.75,1.6417910447761195
2018-04-25,31.86,1.6036036036036037
2018-04-26,66.83,1.8211382113821137
2018-04-27,26.0,
2018-04-28,113.77,1.6865671641791045
2018-04-29,124.17,1.55
2018-05-01,97.63,
2018-05-02,119.52,
2018-05-04,106.05,
2018-05-05,178.7,1.7651515151515151
2018-05-06,228.57,1.6717557251908397
2018-05-07,21.87,1.5145631067961165
2018-05-08,93.26,1.8345864661654134
2018-05-09,121.79,
2018-05-10,23.27,
2018-05-11,120.37,
2018-05-12,90.3,1.8461538461538463
2018-05-13,229.24,1.676923076923077
2018-05-15,72.38,1.8387096774193548
2018-05-16,107.23,
2018-05-17,34.76,1.6434782608695653
2018-05-18,78.83,1.7037037037037037
2018-05-19,62.0,
2018-05-20,233.01,
2018-05-22,124.23,1.6762589928057554
2018-05-23,150.25,1.6911764705882353
2018-05-25,164.96,1.5244755244755244
2018-05-30,81.46,1.7479674796747968
2018-05-31,75.81,1.702290076335878
2018-06-01,33.45,1.4369747899159664
2018-06-02,192.95,1.3985507246376812
2018-06-03,175.64,1.6666666666666667
2018-06-05,101.35,1.7878787878787878
2018-06-06,107.87,1.711111111111111
2018-06-07,108.49,1.702290076335878
2018-06-09,116.96,1.5642857142857143
2018-06-10,223.9,1.5733333333333333
2018-06-12,87.59,1.734375
2018-06-14,138.2,
2018-06-15,71.42,1.64
2018-06-17,88.65,1.894736842105263
2018-06-19,80.71,1.792
2018-06-21,117.79,1.588235294117647
2018-06-22,21.26,1.4074074074074074
2018-06-23,232.59,1.4850746268656716
2018-06-24,323.7,1.637037037037037
2018-06-26,75.57,1.6967213114754098
2018-06-27,26.16,1.490909090909091
2018-06-28,76.35,1.7272727272727273
2018-06-29,220.89999999999998,1.5769230769230769
2018-06-30,143.98000000000002,1.673913043478261
2018-07-03,56.97,1.7685950413223142
2018-07-05,34.32,1.4324324324324325
2018-07-06,65.93,1.5895522388059702
2018-07-07,102.32,1.5902777777777777
2018-07-08,187.26,1.5492957746478873
2018-07-09,34.45,
2018-07-11,157.19,1.7846153846153847
2018-07-12,78.28,1.7886178861788617
