"Timestamp","Type","Value"
"2024-01-16 05:01:00","Time In REM Sleep","1.3375658"
"2024-01-17 07:13:00","Time In REM Sleep","1.5460975"
"2024-01-17 07:13:00","Number Times Woken","10"
"2024-01-17 07:13:00","Sleep Hours","7.36"
"2024-01-17 07:13:00","Time In Deep Sleep","2.0267577"
"2024-01-17 07:13:00","HRV","49.767963"
"2024-01-17 07:13:00","Pulse","53"
"2024-01-17 07:13:00","Time Awake","0.95329636"
"2024-01-17 07:13:00","Time In Light Sleep","3.7891567"
"2024-01-17 07:13:00","Notes","WHOOP Recovery Score: 49"
"2024-01-17 07:43:41","Weight Pounds","175.90"
"2024-01-18 06:01:00","Time Awake","0.7770464"
"2024-01-18 06:01:00","Time In Light Sleep","3.2123706"
"2024-01-18 06:01:00","Notes","WHOOP Recovery Score: 45"
"2024-01-18 06:01:00","Pulse","54"
"2024-01-18 06:01:00","Time In REM Sleep","1.5057833"
"2024-01-18 06:01:00","Number Times Woken","11"
"2024-01-18 06:01:00","Sleep Hours","5.84"
"2024-01-18 06:01:00","HRV","49.705"
"2024-01-18 06:01:00","Time In Deep Sleep","1.1215259"
"2024-01-18 06:30:00","Weight Pounds","177.20"
"2024-01-19 05:31:00","Time In Deep Sleep","1.2016383"
"2024-01-19 05:31:00","Time In REM Sleep","1.3618528"
"2024-01-19 05:31:00","Sleep Hours","6.19"
"2024-01-19 05:31:00","Pulse","55"
"2024-01-19 05:31:00","HRV","43.526085"
"2024-01-19 05:31:00","Number Times Woken","12"
"2024-01-19 05:31:00","Time In Light Sleep","3.6286829"
"2024-01-19 05:31:00","Time Awake","1.2096336"
"2024-01-19 05:31:00","Notes","WHOOP Recovery Score: 34"
"2024-01-19 05:45:00","Weight Pounds","177.20"
"2024-01-20 06:15:00","Notes","WHOOP Recovery Score: 33"
"2024-01-20 06:15:00","Time Awake","0.6088336"
"2024-01-20 06:15:00","Time In Light Sleep","3.30823"
"2024-01-20 06:15:00","HRV","43.469513"
"2024-01-20 06:15:00","Number Times Woken","14"
"2024-01-20 06:15:00","Time In Deep Sleep","1.3858958"
"2024-01-20 06:15:00","Sleep Hours","6.14"
"2024-01-20 06:15:00","Pulse","57"
"2024-01-20 06:15:00","Time In REM Sleep","1.4419395"
"2024-01-21 07:37:00","Pulse","54"
"2024-01-21 07:37:00","Time In Deep Sleep","1.9546444"
"2024-01-21 07:37:00","Sleep Hours","7.95"
"2024-01-21 07:37:00","Time In REM Sleep","1.906575"
"2024-01-21 07:37:00","Number Times Woken","17"
"2024-01-21 07:37:00","HRV","50.899563"
"2024-01-21 07:37:00","Time In Light Sleep","4.093286"
"2024-01-21 07:37:00","Notes","WHOOP Recovery Score: 56"
"2024-01-21 07:37:00","Time Awake","1.2496805"
"2024-01-22 06:59:00","Time Awake","1.5861284"
"2024-01-22 06:59:00","Time In Light Sleep","4.3338413"
"2024-01-22 06:59:00","Notes","WHOOP Recovery Score: 95"
"2024-01-22 06:59:00","Number Times Woken","19"
"2024-01-22 06:59:00","Time In REM Sleep","2.010435"
"2024-01-22 06:59:00","Sleep Hours","8.44"
"2024-01-22 06:59:00","Time In Deep Sleep","2.0988607"
"2024-01-22 06:59:00","Pulse","45"
"2024-01-22 06:59:00","HRV","100.85541"
"2024-01-22 08:59:07","Weight Pounds","175.90"
"2024-01-23 04:59:00","HRV","55.634613"
"2024-01-23 04:59:00","Time In Deep Sleep","1.6903089"
"2024-01-23 04:59:00","Pulse","54"
"2024-01-23 04:59:00","Sleep Hours","5.78"
"2024-01-23 04:59:00","Number Times Woken","15"
"2024-01-23 04:59:00","Time In REM Sleep","1.0894634"
"2024-01-23 04:59:00","Notes","WHOOP Recovery Score: 55"
"2024-01-23 04:59:00","Time Awake","1.385871"
"2024-01-23 04:59:00","Time In Light Sleep","3.0038192"
"2024-01-24 06:54:00","Time Awake","0.80107164"
"2024-01-24 06:54:00","Time In Light Sleep","3.4604182"
"2024-01-24 06:54:00","Notes","WHOOP Recovery Score: 61"
"2024-01-24 06:54:00","Sleep Hours","8.44"
"2024-01-24 06:54:00","Pulse","52"
"2024-01-24 06:54:00","HRV","58.606144"
"2024-01-24 06:54:00","Time In Deep Sleep","2.5795133"
"2024-01-24 06:54:00","Number Times Woken","14"
"2024-01-24 06:54:00","Time In REM Sleep","2.4032269"
"2024-01-25 04:48:00","Pulse","48"
"2024-01-25 04:48:00","HRV","82.86912"
"2024-01-25 04:48:00","Sleep Hours","6.89"
"2024-01-25 04:48:00","Time In Deep Sleep","1.6983222"
"2024-01-25 04:48:00","Number Times Woken","14"
"2024-01-25 04:48:00","Time In REM Sleep","2.2190144"
"2024-01-25 04:48:00","Notes","WHOOP Recovery Score: 87"
"2024-01-25 04:48:00","Time Awake","0.68091446"
"2024-01-25 04:48:00","Time In Light Sleep","2.9717839"
"2024-01-26 05:59:00","Time In Light Sleep","2.96378"
"2024-01-26 05:59:00","Notes","WHOOP Recovery Score: 39"
"2024-01-26 05:59:00","Time Awake","0.6969486"
"2024-01-26 05:59:00","Time In REM Sleep","2.2190228"
"2024-01-26 05:59:00","Time In Deep Sleep","2.1389256"
"2024-01-26 05:59:00","Number Times Woken","13"
"2024-01-26 05:59:00","HRV","47.488033"
"2024-01-26 05:59:00","Sleep Hours","7.32"
"2024-01-26 05:59:00","Pulse","53"
"2024-01-27 06:47:00","Pulse","55"
"2024-01-27 06:47:00","Number Times Woken","9"
"2024-01-27 06:47:00","Sleep Hours","6.90"
"2024-01-27 06:47:00","HRV","57.374462"
"2024-01-27 06:47:00","Time In REM Sleep","2.8759189"
"2024-01-27 06:47:00","Time In Deep Sleep","1.9146092"
"2024-01-27 06:47:00","Time Awake","1.0974772"
"2024-01-27 06:47:00","Time In Light Sleep","2.1065922"
"2024-01-27 06:47:00","Notes","WHOOP Recovery Score: 50"
"2024-01-28 06:36:00","Time In Light Sleep","3.2761688"
"2024-01-28 06:36:00","Notes","WHOOP Recovery Score: 59"
